Year,ID,Title,Rating,Passes,Budget,DBO,IBO,Language,Country,IMDB,Metascore
2013,1711425,21 &amp; Over,notalk,FAIL,13000000,25682380.0,42195766.0,,,,
2012,1343727,Dredd 3D,ok,PASS,45658735,13611086.0,41467257.0,,,,
2013,2024544,12 Years a Slave,notalk,FAIL,20000000,53107035.0,158607035.0,English,"USA, UK",8.3,9.7
2013,1272878,2 Guns,notalk,FAIL,61000000,75612460.0,132493015.0,"English, Spanish",USA,6.8,5.5
2013,453562,42,men,FAIL,40000000,95020213.0,95020213.0,English,USA,7.6,6.2
2013,1335975,47 Ronin,men,FAIL,225000000,38362475.0,145803842.0,"English, Japanese",USA,6.6,2.9
2013,1606378,A Good Day to Die Hard,notalk,FAIL,92000000,67349198.0,304249198.0,"English, Russian, Hindi",USA,5.4,2.8
2013,2194499,About Time,ok,PASS,12000000,15323921.0,87324746.0,English,UK,7.8,5.5
2013,1814621,Admission,ok,PASS,13000000,18007317.0,18007317.0,English,USA,5.7,4.8
2013,1815862,After Earth,notalk,FAIL,130000000,60522097.0,244373198.0,English,USA,5.0,3.3
2013,1800241,American Hustle,ok,PASS,40000000,148430908.0,249484909.0,"English, Arabic",USA,7.5,9.0
2013,1322269,August: Osage County,ok,PASS,25000000,37304874.0,50304874.0,English,USA,7.4,5.8
2013,1559547,Beautiful Creatures,ok,PASS,50000000,19452138.0,55940671.0,English,USA,6.2,5.2
2013,2334873,Blue Jasmine,ok,PASS,18000000,33345833.0,68447831.0,English,USA,7.4,7.8
2013,1535109,Captain Phillips,notalk,FAIL,55000000,107136417.0,218743570.0,"English, Somali",USA,8.0,8.3
2013,1939659,Carrie,ok,PASS,30000000,35266619.0,85001659.0,English,USA,6.0,5.3
2013,1985966,Cloudy with a Chance of Meatballs 2,nowomen,FAIL,78000000,119640264.0,271725448.0,English,USA,6.5,5.9
2013,1690953,Despicable Me 2,ok,PASS,76000000,368065385.0,970766005.0,English,USA,7.6,6.2
2013,1535108,Elysium,ok,PASS,120000000,93050117.0,286192091.0,"English, Spanish, French, Afrikaans",USA,6.7,6.1
2013,1731141,Ender&#39;s Game,men,FAIL,110000000,61737191.0,89737191.0,,,,
2013,848537,Epic,ok,PASS,100000000,107518682.0,268418682.0,English,USA,6.7,5.2
2013,765446,Escape from Planet Earth,ok,PASS,40000000,57012977.0,66454811.0,English,"USA, Canada",5.9,3.5
2013,1211956,Escape Plan,men,FAIL,70000000,25213103.0,103813103.0,"English, German, Arabic, Urdu",USA,6.8,4.9
2013,1288558,Evil Dead,ok,PASS,17000000,54239856.0,97402049.0,English,USA,6.5,5.7
2013,1905041,Fast and Furious 6,ok,PASS,160000000,238679850.0,788128122.0,,,,
2013,2294629,Frozen,ok,PASS,150000000,393050114.0,1004550114.0,English,USA,7.9,7.4
2013,1583421,G.I. Joe: Retaliation,ok,PASS,140000000,122523060.0,371923060.0,English,USA,5.9,4.1
2013,1321870,Gangster Squad,notalk,FAIL,60000000,46000903.0,104100903.0,English,USA,6.8,4.0
2013,2425486,Gloria,ok,PASS,30000000,4167493.0,4967493.0,"Spanish, English","Chile, Spain",7.0,8.3
2013,1454468,Gravity,nowomen,FAIL,110000000,271814796.0,708714796.0,"English, Greenlandic","USA, UK",8.2,9.6
2013,2191701,Grown Ups 2,men,FAIL,80000000,133668525.0,247023808.0,English,USA,5.4,1.9
2013,1428538,Hansel &amp; Gretel: Witch Hunters,ok,PASS,50000000,55703475.0,225703475.0,,,,
2013,1798709,Her,men,FAIL,23000000,25000178.0,33029713.0,English,USA,8.3,9.0
2013,2024432,Identity Thief,men,FAIL,35000000,134506920.0,176269721.0,English,USA,5.7,3.5
2013,2226417,Insidious: Chapter 2,men,FAIL,5000000,83586447.0,161911222.0,English,"USA, Canada",6.7,4.0
2013,1351685,Jack the Giant Slayer,nowomen,FAIL,195000000,65187603.0,197387603.0,English,USA,6.3,5.1
2013,1650554,Kick-Ass 2,ok,PASS,28000000,28795985.0,60839197.0,English,"USA, UK",6.8,4.1
2013,1204975,Last Vegas,notalk,FAIL,28000000,63914167.0,112914167.0,English,USA,6.7,4.8
2013,1327773,Lee Daniels&#39; The Butler,ok,PASS,30000000,116632095.0,151513429.0,,,,
2013,2002718,Machete Kills,ok,PASS,2000000,8008161.0,9408161.0,"English, Spanish","Russia, USA",5.8,4.1
2013,2023587,Mama,ok,PASS,15000000,71628180.0,148041253.0,English,"Canada, Spain",6.3,5.7
2013,770828,Man of Steel,ok,PASS,225000000,291045518.0,687999518.0,English,"USA, Canada, UK",7.4,5.5
2013,1821549,Nebraska,ok,PASS,12000000,17482517.0,17482517.0,"English, Spanish",USA,7.9,8.6
2013,1670345,Now You See Me,notalk,FAIL,75000000,117723989.0,351723989.0,English,"France, USA",7.3,5.0
2013,1483013,Oblivion,men,FAIL,120000000,89107235.0,287537983.0,English,USA,7.0,5.4
2013,2302755,Olympus Has Fallen,notalk,FAIL,70000000,98927592.0,150562164.0,"English, Korean",USA,6.5,4.1
2013,1623205,Oz the Great and Powerful,ok,PASS,200000000,234770996.0,489570996.0,English,USA,6.4,4.4
2013,1663662,Pacific Rim,notalk,FAIL,190000000,101802906.0,411002906.0,"English, Japanese, Cantonese, Mandarin",USA,7.1,6.4
2013,1980209,Pain &amp; Gain,notalk,FAIL,26000000,49875291.0,81275291.0,,,,
2013,1904996,Parker,ok,PASS,35000000,17616641.0,46346651.0,English,USA,6.2,4.3
2013,1854564,Percy Jackson: Sea of Monsters,ok,PASS,90000000,68559554.0,200859554.0,English,USA,6.0,3.9
2013,1392214,Prisoners,ok,PASS,46000000,61002302.0,113402302.0,English,USA,8.1,7.4
2013,790736,R.I.P.D.,notalk,FAIL,130000000,33618855.0,79019947.0,English,USA,5.6,2.5
2013,1821694,Red 2,ok,PASS,84000000,53262560.0,137162560.0,,,,
2013,1411250,Riddick,notalk,FAIL,38000000,42025135.0,92425135.0,English,"USA, UK",6.4,4.9
2013,2364841,Runner Runner,nowomen,FAIL,30000000,19316646.0,62616646.0,English,USA,5.6,3.6
2013,1979320,Rush,notalk,FAIL,38000000,26947624.0,43047624.0,"English, German, Italian, French","USA, Germany, UK",8.3,7.5
2013,1702439,Safe Haven,ok,PASS,28000000,71399120.0,93943623.0,"English, Portuguese",USA,6.7,3.4
2013,2140373,Saving Mr. Banks,ok,PASS,35000000,82834332.0,100734332.0,English,"USA, UK, Australia",7.7,6.5
2013,2053463,Side Effects,ok,PASS,30000000,32172757.0,60288363.0,"English, French",USA,7.1,7.5
2013,1408101,Star Trek Into Darkness,notalk,FAIL,190000000,228778661.0,466978661.0,"English, Klingon",USA,7.9,7.2
2013,1572315,Texas Chainsaw 3D,ok,PASS,20000000,34341945.0,39093317.0,English,USA,4.8,
2013,1931435,The Big Wedding,ok,PASS,32500000,21819348.0,35770721.0,"English, Spanish, Latin",USA,5.6,2.8
2013,816442,The Book Thief,ok,PASS,19000000,21345525.0,62045525.0,"English, German","USA, Germany",7.7,5.3
2013,1911644,The Call,ok,PASS,13000000,51872378.0,58938768.0,English,USA,6.7,5.1
2013,1457767,The Conjuring,ok,PASS,20000000,137400141.0,318000141.0,"English, Latin",USA,7.6,6.8
2013,2193215,The Counselor,ok,PASS,25000000,16973715.0,70373715.0,English,"USA, UK",5.5,4.8
2013,481499,The Croods,men,FAIL,135000000,187168425.0,573068425.0,English,USA,7.3,5.5
2013,2404311,The Family,men,FAIL,30000000,36918811.0,51078541.0,"English, French","USA, France",6.4,4.2
2013,1837703,The Fifth Estate,notalk,FAIL,26000000,3254172.0,6154172.0,"English, Icelandic, Swahili, Arabic","USA, Belgium",6.1,4.9
2013,2005374,The Frozen Ground,nowomen,FAIL,19200000,,,English,USA,6.4,3.7
2013,1951261,The Hangover part 3,men,FAIL,103000000,112200072.0,362000072.0,,,,
2013,2404463,The Heat,ok,PASS,43000000,159581587.0,230781587.0,"English, Spanish, Bulgarian",USA,6.7,6.0
2013,1170358,The Hobbit: The Desolation of Smaug,notalk,FAIL,250000000,257397516.0,937397516.0,English,"USA, New Zealand",8.2,6.6
2013,1951264,The Hunger Games: Catching Fire,ok,PASS,130000000,424088260.0,857088260.0,English,USA,7.9,7.5
2013,790628,The Incredible Burt Wonderstone,notalk,FAIL,32000000,22537881.0,24255957.0,English,USA,5.9,4.4
2013,2234155,The Internship,notalk,FAIL,58000000,44672764.0,93672764.0,"English, Tagalog, Cantonese, Mandarin, Spanish",USA,6.4,4.2
2013,2034139,The Last Exorcism Part II,ok,PASS,4000000,15179303.0,18541236.0,English,USA,3.9,3.5
2013,1210819,The Lone Ranger,notalk,FAIL,275000000,89289910.0,259989910.0,"English, North American Indian",USA,6.6,3.7
2013,1538403,The Mortal Instruments: City of Bones,ok,PASS,60000000,31165421.0,75965567.0,English,"USA, Germany, Canada",6.0,3.3
2013,2017020,The Smurfs 2,ok,PASS,110000000,71017784.0,348545841.0,"English, French",USA,5.4,3.4
2013,1758795,The To Do List,ok,PASS,1500000,3491669.0,3491669.0,English,USA,5.8,6.1
2013,1727388,The Way Way Back,ok,PASS,5000000,21502690.0,26161443.0,English,USA,7.5,6.8
2013,993846,The Wolf of Wall Street,notalk,FAIL,100000000,115702857.0,365702857.0,"English, French",USA,8.5,7.5
2013,1430132,The Wolverine,ok,PASS,115000000,132556852.0,416456852.0,"English, Japanese","USA, UK",6.8,6.0
2013,1213663,The World&#39;s End,men,FAIL,20000000,26004851.0,46578821.0,,,,
2013,1245492,This Is the End,notalk,FAIL,32000000,101470202.0,126294264.0,"English, Spanish",USA,6.9,6.7
2013,1924429,Trance,nowomen,FAIL,16000000,2322593.0,22594052.0,"English, French","UK, France",7.0,6.1
2013,1588173,Warm Bodies,men,FAIL,30000000,66380662.0,116643610.0,English,USA,7.0,5.9
2013,1723121,We&#39;re the Millers,ok,PASS,37000000,150394119.0,270000119.0,,,,
2013,2334879,White House Down,men,FAIL,150000000,73103784.0,205440387.0,English,USA,6.4,5.2
2012,1591479,Act of Valor,nowomen,FAIL,12175663,71037735.0,83704673.0,"English, Russian",USA,6.5,4.0
2012,1781769,Anna Karenina,men,FAIL,49717290,13003980.0,71771007.0,English,UK,6.6,6.3
2012,1024648,Argo,ok,PASS,45151416,138016721.0,224540219.0,"English, Persian",USA,7.8,8.6
2012,1440129,Battleship,notalk,FAIL,212059460,66190353.0,308594933.0,English,USA,5.9,4.1
2012,1758575,Blue Like Jazz,ok,PASS,1217566,603728.0,603728.0,English,USA,6.0,4.8
2012,1217209,Brave,ok,PASS,187708135,240755653.0,562725176.0,English,USA,7.2,6.9
2012,1308729,Bullet to the Head,nowomen,FAIL,55805121,9628746.0,13760036.0,English,USA,5.8,4.8
